year,avg_temp
1843,26.04
1844,26.26
1845,
1846,
1847,
1848,25.83
1849,26.01
1850,25.69
1851,26.25
1852,
1853,
1854,
1855,
1856,
1857,
1858,
1859,
1860,
1861,25.1
1862,25.34
1863,23.62
1864,26
1865,26.26
1866,26.09
1867,26.44
1868,26.33
1869,26.51
1870,26.24
1871,26.17
1872,26.16
1873,26.42
1874,26.3
1875,26.13
1876,26.19
1877,26.59
1878,26.59
1879,26.09
1880,26.2
1881,26.75
1882,26.05
1883,26.3
1884,26.15
1885,26.1
1886,26.38
1887,26.08
1888,26.3
1889,26.61
1890,26.2
1891,26.43
1892,26.55
1893,26.36
1894,26.24
1895,25.98
1896,26.36
1897,26.29
1898,25.92
1899,26.57
1900,26.43
1901,26.53
1902,26.81
1903,25.88
1904,26.49
1905,26.3
1906,26.24
1907,26.17
1908,26.34
1909,26.57
1910,25.89
1911,25.62
1912,26.35
1913,26.45
1914,26.56
1915,26.9
1916,25.9
1917,26.04
1918,26.03
1919,26.24
1920,26.2
1921,26.06
1922,26.77
1923,26.32
1924,27.03
1925,26.26
1926,26.65
1927,26.35
1928,26.34
1929,26.6
1930,26.38
1931,26.54
1932,26.23
1933,26.06
1934,26.17
1935,26.44
1936,26.24
1937,26.22
1938,26.29
1939,26.13
1940,26.49
1941,26.88
1942,26.87
1943,26.42
1944,26.89
1945,26.45
1946,26.6
1947,26.85
1948,26.69
1949,26.29
1950,25.97
1951,26.69
1952,26.68
1953,26.89
1954,26.89
1955,26.62
1956,26.56
1957,26.26
1958,26.89
1959,26.43
1960,26.66
1961,26.57
1962,26.75
1963,26.61
1964,25.89
1965,26.63
1966,26.76
1967,26.47
1968,26.2
1969,27.09
1970,27.24
1971,26.47
1972,26.16
1973,26.54
1974,26.46
1975,26.49
1976,26.43
1977,27.43
1978,26.89
1979,26.96
1980,27.16
1981,26.93
1982,26.16
1983,26.19
1984,26.29
1985,26.63
1986,26.7
1987,26.91
1988,26.95
1989,26.38
1990,27.11
1991,26.46
1992,26.1
1993,27.02
1994,27.25
1995,26.75
1996,27.2
1997,26.87
1998,28.19
1999,28.16
2000,27.67
2001,27.82
2002,28
2003,28.12
2004,28.07
2005,27.9
2006,27.94
2007,28.08
2008,27.59
2009,28.04
2010,28.69
2011,28.25
2012,28.46
2013,28.01
