year,avg_temp
1843,26.32
1844,18.74
1845,22.36
1846,
1847,
1848,26.14
1849,26.34
1850,25.96
1851,26.6
1852,26.47
1853,26.42
1854,23.17
1855,22.92
1856,26.25
1857,25.92
1858,
1859,
1860,29.7
1861,25.86
1862,25.54
1863,23.56
1864,26.4
1865,26.65
1866,26.42
1867,26.74
1868,26.63
1869,26.84
1870,26.57
1871,26.43
1872,26.47
1873,26.77
1874,26.58
1875,26.3
1876,26.48
1877,26.96
1878,26.95
1879,26.58
1880,26.41
1881,27.16
1882,26.33
1883,26.73
1884,26.46
1885,26.49
1886,26.7
1887,26.38
1888,26.68
1889,26.99
1890,26.55
1891,26.84
1892,26.84
1893,26.77
1894,26.44
1895,26.33
1896,26.51
1897,26.47
1898,26.31
1899,26.76
1900,26.8
1901,26.98
1902,26.91
1903,26.2
1904,26.73
1905,26.61
1906,26.54
1907,26.33
1908,26.64
1909,26.98
1910,26.21
1911,25.83
1912,26.51
1913,26.55
1914,26.72
1915,27.03
1916,26.3
1917,26.48
1918,26.26
1919,26.72
1920,26.65
1921,26.5
1922,26.99
1923,26.59
1924,27.29
1925,26.52
1926,26.83
1927,26.67
1928,26.71
1929,26.85
1930,26.76
1931,26.8
1932,26.49
1933,26.23
1934,26.47
1935,26.94
1936,26.56
1937,26.5
1938,26.74
1939,26.59
1940,26.98
1941,27
1942,27.13
1943,26.69
1944,27.11
1945,26.75
1946,27.31
1947,27.48
1948,26.69
1949,26.47
1950,26.36
1951,27.18
1952,27.01
1953,27.09
1954,27.28
1955,26.93
1956,26.66
1957,26.6
1958,27.18
1959,26.32
1960,27.1
1961,26.77
1962,27.21
1963,26.94
1964,26.33
1965,27.13
1966,27.25
1967,26.64
1968,26.76
1969,27.56
1970,27.35
1971,26.7
1972,26.44
1973,27
1974,26.95
1975,26.71
1976,26.69
1977,27.58
1978,27.14
1979,27.57
1980,27.49
1981,27.42
1982,26.31
1983,26.45
1984,26.81
1985,27.02
1986,27.27
1987,27.43
1988,27.42
1989,26.81
1990,27.38
1991,26.77
1992,26.22
1993,27.1
1994,27.59
1995,27.16
1996,27.66
1997,27.23
1998,28.48
1999,28.62
2000,28.06
2001,28.36
2002,28.25
2003,28.38
2004,28.2
2005,28.09
2006,28.12
2007,28.23
2008,27.92
2009,28.17
2010,28.93
2011,28.23
2012,28.54
2013,28.68
