year,avg_temp
1843,25.26
1844,25.71
1845,21.18
1846,
1847,
1848,25.12
1849,25.37
1850,24.95
1851,25.62
1852,25.44
1853,25.47
1854,25.26
1855,25.5
1856,25.15
1857,24.84
1858,25.57
1859,25.58
1860,25.5
1861,24.75
1862,24.46
1863,24.9
1864,25.46
1865,25.71
1866,25.38
1867,25.72
1868,25.61
1869,25.85
1870,25.6
1871,25.42
1872,25.49
1873,25.8
1874,25.58
1875,25.27
1876,25.49
1877,25.99
1878,25.96
1879,25.76
1880,25.32
1881,26.19
1882,25.24
1883,25.83
1884,25.42
1885,25.47
1886,25.65
1887,25.43
1888,25.75
1889,26.04
1890,25.54
1891,25.86
1892,25.89
1893,25.8
1894,25.33
1895,25.39
1896,25.44
1897,25.4
1898,25.26
1899,25.8
1900,25.83
1901,26.15
1902,25.92
1903,25.2
1904,25.64
1905,25.54
1906,25.48
1907,25.18
1908,25.64
1909,26.06
1910,25.16
1911,24.63
1912,25.5
1913,25.47
1914,25.71
1915,26.01
1916,25.29
1917,25.58
1918,25.23
1919,25.85
1920,25.55
1921,25.54
1922,25.96
1923,25.56
1924,26.24
1925,25.56
1926,25.75
1927,25.67
1928,25.73
1929,25.81
1930,25.78
1931,25.75
1932,25.36
1933,25.18
1934,25.41
1935,26.05
1936,25.5
1937,25.56
1938,25.77
1939,25.63
1940,26.04
1941,25.98
1942,26.2
1943,25.56
1944,26.01
1945,25.66
1946,26.5
1947,26.78
1948,25.43
1949,25.31
1950,25.36
1951,26.19
1952,26.09
1953,25.99
1954,26.31
1955,26
1956,25.62
1957,25.64
1958,26.19
1959,25.22
1960,26.2
1961,25.63
1962,26.43
1963,26.17
1964,25.36
1965,26.23
1966,26.55
1967,25.38
1968,25.85
1969,26.51
1970,26.25
1971,25.72
1972,25.33
1973,25.92
1974,25.84
1975,25.77
1976,25.64
1977,26.47
1978,26.2
1979,26.75
1980,26.48
1981,26.51
1982,25.45
1983,25.52
1984,25.89
1985,26.14
1986,26.25
1987,26.58
1988,26.56
1989,25.96
1990,26.26
1991,25.73
1992,25.09
1993,26.09
1994,26.66
1995,26.18
1996,26.76
1997,26.11
1998,27.54
1999,27.67
2000,26.99
2001,27.36
2002,27.19
2003,27.29
2004,27.07
2005,26.89
2006,27.15
2007,27.13
2008,26.96
2009,27.24
2010,28
2011,27.01
2012,27.45
2013,27.86
